idx,norm,trento_p,sigma_k,nucleon_width,dmin3,tau_R,alpha,eta_over_s_T_kink_in_GeV,eta_over_s_low_T_slope_in_GeV,eta_over_s_high_T_slope_in_GeV,eta_over_s_at_kink,zeta_over_s_max,zeta_over_s_T_peak_in_GeV,zeta_over_s_width_in_GeV,zeta_over_s_lambda_asymm,shear_relax_time_factor,Tswitch
451,16.59258,0.68917,0.94633,0.66734,1.73710,0.30360,0.20649,0.22013,-0.62833,1.87950,0.06421,0.02203,0.12103,0.03022,0.63378,3.79852,0.14063
452,14.18305,0.67023,0.72214,0.87303,1.06442,1.72803,-0.23669,0.27668,0.69344,0.18975,0.01951,0.04236,0.14225,0.10419,0.70002,4.75073,0.13655
453,10.52573,0.67546,1.33033,0.52346,4.84456,0.87669,0.17276,0.29029,-1.88843,-0.80942,0.16896,0.01558,0.22167,0.09193,-0.49991,7.99819,0.15473
454,11.14326,0.48279,1.67339,1.37430,1.49797,1.80749,-0.24528,0.15585,-1.09192,0.51204,0.14673,0.01114,0.23651,0.13158,-0.52948,6.42876,0.13801
455,19.07473,0.50981,1.81972,0.71147,0.10348,1.41693,0.02031,0.16111,0.63161,-0.98316,0.19063,0.11210,0.12911,0.03360,-0.12971,3.36919,0.13946
456,11.33297,0.66771,1.66301,0.52466,4.85679,0.51493,-0.25315,0.22245,-1.15618,1.81878,0.07985,0.13670,0.21671,0.02597,-0.62593,5.95429,0.14191
457,19.08989,-0.00316,1.02674,0.62611,3.88563,0.30959,0.29887,0.27065,-0.80479,1.26840,0.14731,0.12167,0.24139,0.13871,0.55290,3.09989,0.16344
458,10.63908,-0.24090,0.55606,1.40697,0.00561,1.67498,0.29322,0.20488,-1.96454,1.71783,0.09799,0.18154,0.28546,0.09827,0.52144,6.37481,0.13261
459,17.27645,-0.18403,1.70335,0.57043,1.26842,1.90650,0.28629,0.17602,-1.66483,0.32129,0.17027,0.04654,0.25597,0.14135,-0.42874,2.05604,0.13660
460,15.48235,-0.62600,0.40327,1.19287,3.50867,0.96820,0.19296,0.16025,-0.02407,-0.65044,0.05887,0.01235,0.20843,0.14102,0.73150,2.09833,0.13474
461,19.88859,-0.41752,1.09437,1.04495,0.64521,1.52008,0.23928,0.29163,-0.73953,-0.95632,0.19834,0.19948,0.12001,0.13259,-0.45081,4.08173,0.14268
462,12.74981,-0.58534,0.39482,0.50031,3.84064,0.80118,0.22034,0.27883,-1.02972,1.94395,0.18892,0.11534,0.13796,0.04730,-0.60314,2.22982,0.13561
463,19.59759,0.60951,0.30609,0.70327,2.93320,1.57466,0.26786,0.20227,-1.85161,-0.37300,0.04509,0.11141,0.27612,0.10397,0.67472,6.30285,0.13070
464,11.94636,-0.69316,0.31047,1.47625,4.83128,0.42871,-0.24791,0.17853,-1.87870,0.59031,0.16622,0.09489,0.13624,0.03113,-0.58723,3.58093,0.15567
465,13.96406,-0.28139,1.79148,0.55829,0.18005,0.54694,-0.11253,0.13564,-0.17846,1.92994,0.14954,0.12219,0.28091,0.12588,0.14067,7.05096,0.13062
466,19.82176,-0.65603,1.79854,1.46654,2.98207,1.83710,-0.10781,0.18191,-1.30265,0.22750,0.06227,0.07425,0.13279,0.14565,0.66770,5.19081,0.16222
467,18.50227,-0.49816,0.60604,1.23863,0.77008,1.66228,-0.14017,0.19125,0.88572,1.70758,0.01083,0.13649,0.28265,0.05570,0.19805,3.18020,0.13336
468,18.45346,0.65222,1.94539,1.35043,1.37461,0.56050,0.28701,0.28725,-1.99085,-0.69537,0.18269,0.05491,0.16188,0.13337,0.47769,6.38952,0.16410
469,17.63877,0.42060,0.56856,0.64580,4.49524,0.72780,-0.21224,0.27004,0.80164,-0.78749,0.09266,0.01964,0.26965,0.03691,-0.44068,4.48182,0.14329
470,14.32287,0.61985,0.91743,1.00428,4.20703,1.98095,0.11917,0.27088,-0.21520,1.92320,0.01627,0.13967,0.13560,0.12241,-0.72685,2.38000,0.13479
471,16.90771,0.65941,1.46614,0.55770,0.78602,0.45685,0.04107,0.19457,-1.60009,-0.18136,0.01347,0.05947,0.15664,0.14606,-0.51438,2.87586,0.16258
472,11.37171,-0.50529,1.64528,1.18630,0.26148,0.56275,-0.28227,0.22497,-1.82344,0.30403,0.07098,0.17167,0.12725,0.07476,0.70447,2.92578,0.15064
473,17.29127,0.42822,1.69818,1.14368,2.25650,1.70169,0.28302,0.21683,0.91156,1.59740,0.18165,0.19284,0.28429,0.06232,-0.44674,7.76864,0.13384
474,16.22066,0.53010,1.01685,1.43678,0.53456,1.42672,-0.23772,0.23855,-1.54298,1.43274,0.06090,0.12040,0.22335,0.04206,0.10410,7.11102,0.16287
475,11.47450,-0.56803,0.32365,0.54607,4.15868,0.31077,0.05493,0.14758,0.72026,-0.86344,0.19781,0.19518,0.22115,0.11871,-0.09001,6.02427,0.13635
476,15.21470,-0.53662,0.67715,1.07383,3.38578,1.86997,0.26144,0.19802,0.92002,0.18171,0.01214,0.18613,0.16233,0.07084,-0.79353,7.30760,0.15133
477,10.16230,-0.50709,1.43806,0.95342,4.36426,0.78438,-0.28940,0.13766,0.83985,-0.13943,0.12837,0.15301,0.28460,0.03058,0.73739,7.50860,0.16339
478,17.91473,-0.62356,1.88438,0.61030,1.21133,1.43327,0.28171,0.27704,0.90389,-0.73560,0.11729,0.03751,0.25514,0.13229,-0.75593,6.65316,0.16192
479,11.21133,0.63039,0.69393,0.65284,0.03601,0.50142,0.28485,0.26242,0.18649,0.03240,0.17944,0.18320,0.15848,0.06827,0.46551,6.89536,0.15441
480,10.73200,-0.44051,1.10104,0.62596,4.69023,1.82201,-0.26819,0.20434,0.71186,1.74910,0.13377,0.11395,0.25395,0.14762,0.70280,2.42873,0.13225
481,11.83899,0.33668,1.66556,1.34538,3.04065,0.60695,-0.23965,0.13470,0.76142,1.57332,0.02395,0.02349,0.22607,0.09048,-0.39233,2.06813,0.16352
482,10.79849,-0.51912,0.44780,1.17462,0.36802,0.39243,-0.20529,0.27135,-0.93487,0.38522,0.16347,0.11426,0.29101,0.03556,-0.77856,5.11722,0.13458
483,14.95166,0.45484,0.76638,1.31932,4.67353,0.69375,0.23159,0.13832,-1.53455,1.45835,0.14708,0.01647,0.29775,0.14806,-0.62964,7.34843,0.15528
484,13.33048,0.29818,0.73004,1.20134,4.80449,0.43676,-0.12946,0.17530,0.04519,1.80475,0.02623,0.17743,0.12958,0.09146,0.77764,6.45727,0.13444
485,17.88617,-0.20681,1.45173,1.41783,4.84383,1.78953,0.19147,0.29096,-1.73378,-0.55655,0.18698,0.18552,0.25294,0.05144,-0.24109,7.39030,0.16126
486,19.13632,0.53244,0.42388,0.96040,3.91700,1.39501,0.00948,0.19590,0.80839,-0.24411,0.18597,0.15211,0.29062,0.14923,0.72548,7.60643,0.16183
487,16.15698,0.30427,1.60694,0.51467,2.31191,1.85399,-0.22017,0.28368,0.13001,-0.49640,0.01990,0.19000,0.25208,0.11701,-0.48213,7.78509,0.13054
488,11.91011,0.19034,1.90367,0.52857,3.49836,0.36233,0.29776,0.13188,-1.62699,-0.67210,0.12545,0.18919,0.26687,0.12453,0.67837,2.56927,0.14210
489,10.50996,0.21833,1.55861,1.49302,2.63016,1.00182,-0.09006,0.29989,0.43906,1.09181,0.19293,0.01273,0.12361,0.06363,0.42282,4.98195,0.15671
490,15.36762,-0.65803,1.61668,0.71665,0.02057,1.98532,0.12021,0.14675,-1.65433,1.54103,0.16281,0.06675,0.28720,0.04147,0.78586,4.93329,0.16369
491,12.66049,-0.60707,1.46808,1.42683,0.51921,1.69271,0.24894,0.13863,0.77315,1.60351,0.18033,0.14074,0.15537,0.14582,0.45402,5.07348,0.13911
492,19.96014,-0.03696,1.85198,0.51739,4.38162,1.93029,0.29731,0.25946,-1.33601,-0.51423,0.03293,0.01184,0.18312,0.03043,0.73981,2.94010,0.14718
493,13.35082,-0.57315,1.94942,0.63047,0.95023,1.07357,-0.28455,0.15246,-0.74970,-0.21364,0.03939,0.01695,0.16495,0.05321,-0.76972,7.71039,0.14594
494,19.73478,0.18629,0.57412,0.56391,4.02005,1.24026,-0.15829,0.24790,-1.29401,1.84996,0.16726,0.01150,0.18205,0.12177,0.12524,7.52119,0.13309
495,19.66169,0.27635,1.26547,1.49415,1.11609,0.32666,0.20188,0.22399,-1.80479,0.23260,0.05254,0.18963,0.19839,0.05372,-0.31485,2.61823,0.13347
496,18.06955,0.68351,1.85816,1.08458,3.60299,1.36609,-0.28057,0.29523,-0.49689,1.39110,0.19107,0.17299,0.29443,0.05215,0.75598,3.00617,0.14227
497,18.48707,-0.63453,1.56869,0.68578,3.29451,0.61907,-0.27053,0.27852,0.30266,0.64066,0.06438,0.16893,0.12701,0.13979,-0.48639,2.53521,0.15410
498,12.63315,-0.35414,1.87613,1.23122,1.00254,0.66457,0.28434,0.29581,0.02429,1.31915,0.01029,0.01222,0.29729,0.09022,0.30156,6.48054,0.13593
499,11.07209,0.45782,0.32487,0.80147,3.40083,1.88183,-0.04774,0.14495,-1.10789,-0.87689,0.12909,0.09782,0.19323,0.06398,-0.18660,3.98769,0.15467
