idx,norm,trento_p,sigma_k,nucleon_width,dmin3,tau_R,alpha,eta_over_s_T_kink_in_GeV,eta_over_s_low_T_slope_in_GeV,eta_over_s_high_T_slope_in_GeV,eta_over_s_at_kink,zeta_over_s_max,zeta_over_s_T_peak_in_GeV,zeta_over_s_width_in_GeV,zeta_over_s_lambda_asymm,shear_relax_time_factor,Tswitch
85,10.91513,0.48013,1.19002,1.23678,1.34459,0.44835,-0.04078,0.21896,-1.29094,0.73739,0.10382,0.09332,0.28889,0.06720,0.02254,4.86880,0.15844
86,18.91402,0.08900,0.90650,1.42168,0.95581,1.26360,-0.07055,0.19297,-1.38568,-0.01180,0.13394,0.10777,0.25572,0.12115,-0.54922,4.26329,0.14396
87,19.47763,0.05501,0.77242,1.00715,3.94203,1.53664,-0.10008,0.28406,-0.73029,0.40098,0.16566,0.11932,0.15336,0.12750,-0.26317,4.64581,0.16099
88,11.55507,0.42899,0.64114,0.96225,2.61800,0.98252,-0.14498,0.15074,-1.13013,0.69803,0.10629,0.15535,0.14450,0.05688,0.69750,4.70275,0.15618
89,13.25960,0.52055,1.60347,0.85500,3.44040,1.06746,-0.17620,0.18749,0.43060,0.76551,0.05273,0.05232,0.22222,0.07998,0.20578,7.97451,0.14507
90,16.24475,0.49706,1.63132,1.14649,0.54275,1.53240,0.16942,0.24112,0.57595,0.93850,0.10979,0.16569,0.17168,0.07041,0.31098,6.18713,0.14486
91,17.14446,0.46155,0.47925,1.36884,3.86533,1.14754,-0.25609,0.23503,-0.23461,0.65745,0.14380,0.06304,0.24013,0.05164,0.11328,7.33686,0.14828
92,11.89233,0.52533,1.61384,1.16076,3.97305,1.71087,0.04440,0.24886,0.56958,0.96756,0.13560,0.07568,0.18072,0.11321,0.02941,5.69430,0.14618
93,16.96204,-0.45075,0.74954,1.26052,4.24546,1.57019,0.07695,0.22332,0.47605,-0.71268,0.09109,0.06477,0.19518,0.07357,-0.39003,2.69101,0.16203
94,11.76224,0.53792,1.24580,0.93759,3.61485,1.62041,-0.12666,0.23113,-1.74322,0.12402,0.12556,0.14286,0.15992,0.12358,0.22409,4.99866,0.14607
95,15.78835,0.15869,0.54586,1.39382,3.32481,1.08774,0.09717,0.21866,-0.13557,-0.93420,0.04822,0.07690,0.13517,0.10289,-0.09848,7.23482,0.15710
96,18.72753,-0.19432,1.00441,1.40893,1.56166,1.54753,0.16836,0.17752,0.26698,-0.37775,0.07400,0.04484,0.17877,0.09928,0.66929,3.55719,0.14892
97,14.01652,-0.49149,1.08278,0.92353,0.44262,0.65688,0.16571,0.25160,-0.68806,1.55853,0.15422,0.11599,0.21589,0.06060,-0.37272,5.40268,0.14298
98,14.50421,-0.01156,0.87099,0.92014,2.51115,0.92947,0.20622,0.21428,0.34262,0.64729,0.04107,0.08826,0.28501,0.09558,-0.32790,2.48314,0.15000
99,15.47540,-0.16093,0.96704,0.60984,2.03718,1.10002,-0.04628,0.28633,-1.13865,0.06430,0.19938,0.05870,0.27583,0.08891,0.42735,6.50257,0.15155
100,11.93344,0.15974,0.47175,0.97805,1.46156,0.71081,0.17629,0.20151,0.10560,1.00127,0.14615,0.15946,0.19655,0.10434,-0.47333,3.91382,0.15901
101,18.08893,-0.38253,1.80924,0.94257,3.20714,1.22903,-0.13883,0.27784,-1.21684,0.71384,0.08085,0.10512,0.22796,0.11992,-0.68510,6.23257,0.15314
102,12.41312,-0.09547,1.52776,1.35816,2.09728,0.50845,0.00625,0.26006,-0.64651,-0.23176,0.06623,0.06828,0.19039,0.07174,0.20453,5.68094,0.14835
103,17.66262,0.04935,1.48455,0.67769,0.80291,0.66946,-0.10232,0.21732,-1.50625,0.06014,0.09166,0.18840,0.22253,0.11132,0.18597,6.64037,0.15815
104,19.24024,-0.05305,1.49895,1.09540,0.88512,0.87110,-0.04292,0.16603,0.00159,-0.35505,0.11462,0.02699,0.21207,0.08147,-0.37007,6.61544,0.15971
105,14.27973,-0.26382,0.73799,1.09850,1.50366,0.75369,-0.11000,0.14644,-1.26505,-0.35000,0.09572,0.08865,0.22324,0.04185,-0.13388,4.92477,0.15283
